Dataset,Method,Seed,Sensors,L2,RMSE,MSE,Time,Subdomains,Splits
20221121,A1,42,5,0.14927546679973602,4.807461565789473,23.11168670654297,420.0119972229004,2,
20221121,A1,123,5,0.14989548921585083,4.827431835797628,23.30409812927246,417.6623582839966,2,
20221121,A1,456,5,0.15312665700912476,4.931495202063824,24.319644927978516,420.16724848747253,2,
20221121,A1,789,5,0.14340615272521973,4.61843880932967,21.32997703552246,418.65798711776733,2,
20221121,A1,1024,5,0.1526799201965332,4.917109819688984,24.177968978881836,421.3193395137787,2,
20221121,A1,2048,5,0.15014290809631348,4.8353963373500015,23.381057739257812,420.7233681678772,2,
20221121,A1,3000,5,0.15176455676555634,4.887626338018565,23.888891220092773,427.6284763813019,2,
20221121,A1,4096,5,0.15242178738117218,4.908793379376061,24.09625244140625,422.3291938304901,2,
20221121,A1,5555,5,0.15081559121608734,4.857063553266895,23.591066360473633,418.3564009666443,2,
20221121,A1,7777,5,0.15246976912021637,4.910339206391567,24.111431121826172,420.78131675720215,2,
20221121,A2,42,5,0.15172284841537476,4.886283531903403,23.87576675415039,573.3900434970856,3,
20221121,A2,123,5,0.15911893546581268,5.1244783833852035,26.260278701782227,574.7380509376526,3,
20221121,A2,456,5,0.15143287181854248,4.876943543179914,23.784578323364258,576.1528465747833,3,
20221121,A2,789,5,0.1590120494365692,5.121034716419374,26.22499656677246,576.1511700153351,3,
20221121,A2,1024,5,0.15215155482292175,4.900093054374408,24.01091194152832,573.9297888278961,3,
20221121,A2,2048,5,0.16877961158752441,5.435603019158479,29.545780181884766,574.4680554866791,3,
20221121,A2,3000,5,0.16063375771045685,5.173262211287795,26.76264190673828,574.1212522983551,3,
20221121,A2,4096,5,0.15108485519886017,4.865735959629643,23.675386428833008,572.4597923755646,3,
20221121,A2,5555,5,0.17127631604671478,5.516012118751541,30.426389694213867,576.9316437244415,3,
20221121,A2,7777,5,0.16994091868400574,5.473005807782546,29.953792572021484,572.5421085357666,3,
20221121,A3,42,5,0.14927546679973602,4.807461565789473,23.11168670654297,397.8998267650604,2,
20221121,A3,123,5,0.14989548921585083,4.827431835797628,23.30409812927246,397.65053391456604,2,
20221121,A3,456,5,0.15312665700912476,4.931495202063824,24.319644927978516,398.1687185764313,2,
20221121,A3,789,5,0.14340615272521973,4.61843880932967,21.32997703552246,399.4364092350006,2,
20221121,A3,1024,5,0.1526799201965332,4.917109819688984,24.177968978881836,399.1650483608246,2,
20221121,A3,2048,5,0.15014290809631348,4.8353963373500015,23.381057739257812,397.3638195991516,2,
20221121,A3,3000,5,0.15176455676555634,4.887626338018565,23.888891220092773,408.9804689884186,2,
20221121,A3,4096,5,0.15242178738117218,4.908793379376061,24.09625244140625,399.0972752571106,2,
20221121,A3,5555,5,0.15081559121608734,4.857063553266895,23.591066360473633,397.36379885673523,2,
20221121,A3,7777,5,0.15246976912021637,4.910339206391567,24.111431121826172,400.10315132141113,2,
20221121,A4,42,5,0.14927546679973602,4.807461565789473,23.11168670654297,425.4473955631256,2,
20221121,A4,123,5,0.14989548921585083,4.827431835797628,23.30409812927246,425.51704931259155,2,
20221121,A4,456,5,0.15312665700912476,4.931495202063824,24.319644927978516,420.63650393486023,2,
20221121,A4,789,5,0.14340615272521973,4.61843880932967,21.32997703552246,421.04471731185913,2,
20221121,A4,1024,5,0.1526799201965332,4.917109819688984,24.177968978881836,419.8830020427704,2,
20221121,A4,2048,5,0.15014290809631348,4.8353963373500015,23.381057739257812,420.89220333099365,2,
20221121,A4,3000,5,0.15176455676555634,4.887626338018565,23.888891220092773,427.5466203689575,2,
20221121,A4,4096,5,0.15242178738117218,4.908793379376061,24.09625244140625,417.98345947265625,2,
20221121,A4,5555,5,0.15081559121608734,4.857063553266895,23.591066360473633,421.2565760612488,2,
20221121,A4,7777,5,0.15246976912021637,4.910339206391567,24.111431121826172,421.0029356479645,2,
