Method,Name,L2,RMSE,Time,Parameters,Subdomains
B1,Linear Interp.,0.1646135300397873,5.3014360893417365,0.0,0,0
B2,Simple NN,0.3873274624347687,12.474020854923344,36.8414511680603,131841,1
B3,Vanilla PINN,0.17470842599868774,5.626545672509375,460.0428194999695,131841,1
B4,PINN + RAR,0.16565819084644318,5.335077397965765,108.12727165222168,131841,1
B5,PINN + Viscosity,0.16112622618675232,5.18912544981907,208.19509935379028,131841,1
B6,cPINN-style DD,0.14922504127025604,4.805838395886604,318.08350586891174,230658,2
B7,CA-STD-PINN (Ours),0.14927546679973602,4.807461565789473,420.64706110954285,230658,2
