Dataset,Method,Sensors,L2_mean,L2_std,RMSE_mean,RMSE_std,MSE_mean,MSE_std,Time_mean,n_runs
20221121,B8,3,0.21665350496768948,0.0026848470534045375,6.977404363010254,0.08646873332008016,48.690900802612305,1.2075131912793466,1347.1223233699798,10
20221121,B8,4,0.16755607724189756,0.0029447867204338424,5.396199498768263,0.09483740889809825,29.127063751220703,1.0233818791832288,1129.7630123615265,10
20221121,B8,5,0.16041811555624005,0.0025269091704888964,5.166319746946023,0.08137936317005337,26.696820068359376,0.83958658117256,1326.1986411571502,10
20221121,B8,6,0.15571861863136288,0.0023912185419188905,5.0149713984216415,0.07701081692596246,25.155275726318358,0.7686241179174393,1126.4961650133132,10
20221121,B8,7,0.14170231670141215,0.0020846571343924674,4.5635675179841355,0.06713719964917868,20.830205154418945,0.6124710352938628,1132.0049314022065,10
20221122,B8,3,0.2200833991169929,0.0016970121380258272,7.683199089039012,0.05924184756100443,59.03470687866211,0.9116433762301867,1166.7039090633393,10
20221122,B8,4,0.19260253459215165,0.0010371975275957903,6.7238206390386726,0.036209253312711784,45.21094398498535,0.48794343053047273,1104.4518089294434,10
20221122,B8,5,0.1791377648711204,0.0008895400110810335,6.2537629601866005,0.031054082567967087,39.1104190826416,0.3887085401197015,1154.5124724388122,10
20221122,B8,6,0.16226475536823268,0.001990210666216246,5.664721626129061,0.0694785358573953,32.09341564178467,0.7880696749649417,1143.9810282707215,10
20221122,B8,7,0.1459892630577087,0.0019635463319441684,5.09654026463841,0.06854824592057408,25.97895164489746,0.6970654662593034,1127.9090755462646,10
20221123,B8,3,0.11149791777133937,0.0010646021811104697,4.9749415395462036,0.0475034470776379,24.752074241638184,0.47414370145622153,1212.279986691475,10
20221123,B8,4,0.10150113627314564,0.0008937501904403532,4.5288893715341745,0.039877937294012865,20.512270164489745,0.3617355104597663,1189.1748552560807,10
20221123,B8,5,0.09658923670649525,0.001146666878365018,4.30972533455125,0.05116285389705156,18.57608833312988,0.44304512635646237,1211.604975128174,10
20221123,B8,6,0.09426105171442026,0.0012323906419418574,4.205844846629465,0.054988020824033465,17.691852188110353,0.46134310314475874,1199.0205964565278,10
20221123,B8,7,0.08663448877632612,0.0007032867083791839,3.865555638551506,0.03137986656112376,14.94342303276062,0.24121799047383163,1215.6316963831584,12
20221129,B8,3,0.268763667345047,0.0017467992716848587,7.837297327717131,0.050937566940464224,61.42556457519531,0.7966367013146789,1175.2946469783783,10
20221129,B8,4,0.250860171020031,0.002446753918156245,7.315222226570883,0.07134872245447325,53.51705780029297,1.0385526181766795,1168.0606184005737,10
20221129,B8,5,0.22584197819232937,0.0015830205369955835,6.585673530796181,0.04616194806617064,43.37301368713379,0.6089920915949358,1252.7054318666458,10
20221129,B8,6,0.20965749621391291,0.0015163354284112543,6.113725897430823,0.04421813450075173,37.379404067993164,0.5420323992163866,1190.1990216493607,10
20221129,B8,7,0.1894563019275665,0.002036138003891899,5.524651580898402,0.05937488300911868,30.524947929382325,0.6543311218770917,1221.0365294218063,10
20221202,B8,3,0.20451500266790384,0.0023485573321258193,7.592854526318318,0.0871921976684339,57.658282089233396,1.331832044451247,1183.202184176445,10
20221202,B8,4,0.18352653086185453,0.0017690849448292912,6.813623757099042,0.06568207827967168,46.4293514251709,0.893492712889708,1107.1799388170243,10
