Method,L2_mean,L2_std,RMSE_mean,RMSE_std,Time_mean,n_runs
A1,0.15059982985258097,0.002850707056520022,4.850115604707268,0.09180950749937229,420.7637686729431,10
A2,0.15951537191867823,0.008068105214314093,5.1372452345872315,0.2598369292881274,574.4884752273559,10
A3,0.15059982985258097,0.002850707056520022,4.850115604707268,0.09180950749937229,399.52290508747103,10
A4,0.15059982985258097,0.002850707056520022,4.850115604707268,0.09180950749937229,422.12104630470276,10
