Dataset,Method,Seed,Sensors,L2,RMSE,MSE,Time,Subdomains,Splits
ngsim,B2,42,3,0.33256804943084717,9.331184230605878,87.07099914550781,28.765642166137695,1,
ngsim,B2,123,3,0.31263720989227295,8.77196644571256,76.94739532470703,23.098751544952393,1,
ngsim,B2,456,3,0.40105581283569336,11.252810995927133,126.6257553100586,23.720804691314697,1,
ngsim,B2,789,3,0.3562653362751007,9.996081919810312,99.9216537475586,22.973999500274658,1,
ngsim,B2,1024,3,0.42905962467193604,12.03854347214247,144.92652893066406,22.75431489944458,1,
ngsim,B2,2048,3,0.3236890137195587,9.082057711654999,82.48377227783203,23.142792463302612,1,
ngsim,B2,3000,3,0.3535904288291931,9.921029891419808,98.42683410644531,22.960254907608032,1,
ngsim,B2,4096,3,0.35228288173675537,9.88434284408795,97.70023345947266,22.523247241973877,1,
ngsim,B2,5555,3,0.3967982232570648,11.133353536743593,123.9515609741211,22.786465883255005,1,
ngsim,B2,7777,3,0.39662784337997437,11.128572040545953,123.8451156616211,22.12423348426819,1,
ngsim,B3,42,3,0.19637008011341095,5.509746066021204,30.357301712036133,67.59666275978088,1,
ngsim,B3,123,3,0.19160352647304535,5.3760059213832765,28.901439666748047,67.23850393295288,1,
ngsim,B3,456,3,0.20027996599674225,5.619449335182984,31.578210830688477,67.50282692909241,1,
ngsim,B3,789,3,0.20138144493103027,5.650354168349379,31.926502227783203,72.2788462638855,1,
ngsim,B3,1024,3,0.20711831748485565,5.811319867175857,33.77143859863281,78.35379552841187,1,
ngsim,B3,2048,3,0.20518934726715088,5.757196649667219,33.14531326293945,77.35513305664062,1,
ngsim,B3,3000,3,0.20271745324134827,5.687840378186136,32.35152816772461,69.90281867980957,1,
ngsim,B3,4096,3,0.19384238123893738,5.438823845725205,29.5808048248291,73.27828431129456,1,
ngsim,B3,5555,3,0.19616398215293884,5.503963602821745,30.293615341186523,76.5618577003479,1,
ngsim,B3,7777,3,0.19429869949817657,5.4516274218466965,29.72024154663086,82.99418497085571,1,
ngsim,B4,42,3,0.190726175904274,5.351389638517497,28.637371063232422,89.37490725517273,1,
ngsim,B4,123,3,0.19002816081047058,5.331804632604123,28.42814064025879,83.39021921157837,1,
